branch_id,branch_name,branch_manager,branch_phone_number,branch_opening_date,branch_type,branch_stock_market,branch_stock_symbol,branch_country_code
1,Branch A,Timothea Pavlenko,115-584-5246,3/25/2011,Corporate,NYSE,EPD,TH
2,Branch B,Lorelei Borg-Bartolo,951-911-9848,1/26/2016,Corporate,NYSE,WD,ID
3,Branch B,Brandea Lilliman,561-184-4533,4/16/2014,Retail,NASDAQ,SWIN,PL
4,Branch B,Vasili Readings,891-269-9668,6/27/2006,Retail,NASDAQ,FRBK,ID
5,Branch A,Gerta Dunne,463-910-1235,10/2/2010,Retail,NASDAQ,LOAN,TH
6,Branch B,Erek Kiely,850-568-3864,2/22/2011,Corporate,NASDAQ,ARAY,MY
7,Branch A,Dominica Kristoffersen,648-171-6502,6/11/2017,Corporate,NYSE,TFX,CU
8,Branch B,Brianna Kemmis,739-459-5464,8/2/2001,Corporate,NASDAQ,NXEO,CI
9,Branch B,Bald Dangerfield,644-582-2981,12/8/2015,Corporate,NYSE,BAC^Y,GR
10,Branch C,Vitoria McGuire,428-203-0619,11/19/2007,Retail,NASDAQ,FMAO,PH
11,Branch A,Kellen Brightie,774-543-1902,2/16/2008,Retail,NASDAQ,CNTY,CN
12,Branch A,Babb Rolfini,620-447-1485,1/17/2007,Retail,NASDAQ,KBWR,NG
13,Branch B,Wylie Cattell,346-772-8786,5/31/2012,Retail,NYSE,NXQ,CN
14,Branch C,Roobbie Jent,965-241-5012,3/31/2006,Corporate,NASDAQ,CHFC,CM
15,Branch B,Hieronymus Harkus,583-282-8368,4/10/2010,Corporate,NASDAQ,MRVC,CN
16,Branch A,Tye Fownes,312-196-9270,3/12/2001,Corporate,NASDAQ,FNWB,NI
17,Branch A,Amerigo Djurkovic,460-583-1184,6/4/2001,Corporate,NYSE,KFN^,SE
18,Branch A,Amye Andree,757-833-3369,12/18/2005,Retail,NYSE,CHSP^A.CL,RU
19,Branch B,Marcella Tander,353-232-7961,5/12/2015,University,NYSE,APAM,DK
20,Branch C,Hortensia Stillwell,379-255-3248,4/23/2017,University,NYSE,EE,BR
21,Branch C,Nani Neely,557-786-9179,12/25/2011,Retail,NYSE,JNJ,ID
22,Branch C,Ram Cauley,820-792-9228,10/22/2006,Retail,NASDAQ,ATRI,SE
23,Branch C,Patrizia Nerney,206-546-2244,9/10/2006,Corporate,NYSE,SCCO,US
24,Branch A,Yvette Rawdales,265-562-0716,1/12/2019,Retail,NASDAQ,PESI,HN
25,Branch C,Cami Zoanetti,985-636-1804,2/4/2021,Corporate,NYSE,USG,PH
26,Branch B,Eadmund Ducker,562-321-2163,1/21/2016,Retail,NYSE,TXT,PH
27,Branch C,Esther Saffin,533-170-3510,2/13/2006,University,NYSE,EXPR,FR
28,Branch A,Marlowe Jacobsson,252-879-9299,8/4/2021,University,NASDAQ,SYKE,EG
29,Branch C,Myron Robinette,938-609-1802,11/1/2009,University,NYSE,MTX,BR
30,Branch B,Corissa Tomkiss,993-500-1835,10/6/2014,University,NASDAQ,TNXP,JP
31,Branch A,Thorpe O'Hagirtie,121-660-5679,10/10/2011,University,NYSE,BGCA,GR
32,Branch A,Decca Iorizzo,344-212-6651,2/1/2021,University,NASDAQ,HA,CM
33,Branch B,Shannen Bausmann,175-797-3493,3/21/2003,Retail,NASDAQ,SHPG,PT
34,Branch A,Joe Hasell,320-445-2028,4/7/2014,Corporate,NYSE,KOP,AZ
35,Branch B,Peria Ablett,291-219-7990,6/14/2011,Retail,NYSE,WFC^T,JP
36,Branch B,Cyndie Hrinchenko,135-236-6263,7/22/2001,Corporate,NASDAQ,OCUL,CO
37,Branch A,Gusta Willmore,442-769-7088,10/5/2014,Corporate,NYSE,PSA,PT
38,Branch C,Debee Gauden,235-541-7973,10/16/2008,Corporate,NYSE,BGR,PH
39,Branch A,Heidie Blindt,660-444-3643,1/28/2022,University,NASDAQ,MPVD,ID
40,Branch A,Betty Parramore,619-140-3663,5/15/2019,Corporate,NASDAQ,SRCL,US
41,Branch C,Del Fitchet,127-978-0093,7/1/2000,Corporate,NASDAQ,NNDM,TZ
